,0
1436,1D-myo-inositol 4-monophosphate
1437,"D-myo-inositol (1,4,5)-trisphosphate"
1438,"D-myo-inositol (1,4)-bisphosphate"
1439,"2-carboxy-1,4-naphthoquinone"
1440,"1,4-dihydroxy-2-naphthoate"
1441,D-mannitol 1-phosphate
1442,D-mannitol
1443,D-threitol
1444,D-erythrulose
1445,D-erythrulose 4-phosphate
1446,dihydroconiferyl alcohol
1447,dihydroconiferyl aldehyde
1448,D-xylulose
1449,D-arabinitol
1450,(R)-rosmarinate
1451,"(R)-3-(3,4-dihydroxyphenyl)lactate"
1452,"3-(3,4-dihydroxyphenyl)pyruvate"
1453,L-dopa
1454,D-ribulose
1455,ribitol
1456,cinnamate
1457,(R)-3-(4-hydroxyphenyl)lactate
1458,caffeoyl-4'-hydroxyphenyllactate
1459,4-coumaroyl-4'-hydroxyphenyllactate
1460,"4-coumaroyl-3',4'-dihydroxyphenyllactate"
1461,xylitol
1462,isoprene
1463,vanillin
1464,"3,4-dihydroxybenzaldehyde"
1465,4-hydroxybenzaldehyde
1466,5-deoxy-D-glucuronate
1467,5-dehydro-2-deoxy-D-gluconate
1468,"3D-(3,5/4)-trihydroxycyclohexane-1,2-dione"
1469,scyllo-inosose
1470,5-dehydro-2-deoxy-D-gluconate 6-phosphate
1471,cinnamoyl-beta-D-glucoside
1472,5-dehydro-L-gluconate
1473,3-dehydro scyllo-inosose
1474,galactitol
1475,keto-D-tagatose
1476,keto-D-fructose 6-phosphate
1477,keto-D-tagatose 6-phosphate
1478,D-altritol
1479,5-hydroxyferulate
1480,sinapate
1481,ferulate
1482,trans-caffeate
1483,beta-D-fructofuranose
1484,keto-D-fructose
1485,trans-anol
1486,trans-anethole
1487,coumaryl acetate
1488,L-erythrulose 1-phosphate
1489,L-erythrulose
1490,L-threitol
1491,[HPr protein]-Npi-phospho-L-histidine
1492,galactitol 1-phosphate
1493,[HPr]-L-histidine
1494,D-tagatofuranose 6-phosphate
1495,"D-tagatofuranose 1,6-bisphosphate"
1496,sinapoyl-CoA
1497,"D-glucaro-1,5-lactone"
1498,O-sinapoylglucarolactone
1499,D-glucarate
1500,2-O-sinapoyl-D-glucarate
1501,D-sorbitol 6-phosphate
1502,coniferyl acetate
1503,isoeugenol
1504,eugenol
1505,aldehydo-D-mannose
1506,D-mannopyranose
1507,scopoletin
1508,esculetin
1509,umbelliferone
1510,"(Z)-3-(2,4-dihydroxyphenyl)-prop-2-enoate"
1511,"2,4-dihydroxycinnamate"
1512,scopolin
1513,(Z)-6'-hydroxyferulate
1514,(E)-6'-hydroxyferulate
1515,1-O-sinapoyl-beta-D-glucose
1516,"1,2-di-O-sinapoyl-beta-D-glucose"
1517,O-sinapoylcholine
1518,sinapoyl-(S)-malate
1519,"trans-2,3-dehydroadipyl-coA"
1520,(3S)-hydroxyadipyl-CoA
1521,phenylacetate
1522,phenylacetyl-CoA
1523,"3-oxo-5,6-didehydrosuberyl-CoA semialdehyde"
1524,"3-oxo-5,6-didehydrosuberyl-CoA"
1525,2-oxepin-2(3H)-ylideneacetyl-CoA
1526,"2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA"
1527,3-oxoadipyl-CoA
1528,phenylglyoxylyl-CoA
1529,phenylglyoxylate
1530,quinol
1531,quinone
1532,7-[(3S)-(3-amino-3-carboxypropyl)]-wyosine37 in tRNAPhe
1533,7-[(3S)-4-methoxy-(3-amino-3-carboxypropyl)]-wyosine37 in tRNAPhe
1534,wybutosine37 in tRNAPhe
1535,phenol
1536,coniferyl alcohol radical
1537,(+)-pinoresinol
1538,(+)-sesamin
1539,(+)-sesamolin
1540,(+)-sesamolinol
1541,(+)-piperitol
1542,reduced 2[4Fe-4s] ferredoxin
1543,4-hydroxybenzoyl-CoA
1544,oxidized 2[4Fe-4s] ferredoxin
1545,4-hydroxybenzoate
1546,phenyl phosphate
1547,3-hydroxypimeloyl-CoA
1548,2-hydroxy-6-oxocyclohexane-1-carbonyl-CoA
1549,6-oxocyclohex-1-ene-1-carbonyl-CoA
1550,(E)-glutaconyl-CoA
1551,glutaryl-CoA
1552,3-oxopimeloyl-CoA
1553,6-hydroxycyclohex-1-ene-1-carbonyl-CoA
1554,crotonate
1555,(-)-matairesinol
1556,"7(8),7'(8')-tetrahydrojusticidin B"
1557,collinusin
1558,justicidin B
1559,"(3R,4R)-3,4-bis(4-hydroxy-3-methoxybenzyl)tetrahydro-2-furanol"
1560,(-)-secoisolariciresinol
1561,(+)-lariciresinol
1562,phenylacetaldehyde
1563,2-phenylethylamine
1564,(-)-4'-demethyl-deoxypodophyllotoxin
1565,(-)-4'-demethyl-epipodophyllotoxin
1566,(-)-deoxypodophyllotoxin
1567,(-)-yatein
1568,(-)-pinoresinol
1569,(-)-lariciresinol
1570,(+)-secoisolariciresinol
1571,gypenoside XVII
1572,ginsenoside Rb1
1573,ginsenoside F2
1574,ginsenoside Rd
1575,diphyllin
1576,(20S)-ginsenoside Rg3
1577,methylated methyl donor
1578,demethylated methyl donor
1579,S-ribosyl-L-homocysteine
1580,autoinducer 2
1581,"(3S,6S)-6-isopropenyl-3-methyloxepan-2-one"
1582,(5S)-6-hydroxy-5-isopropenyl-2-methylhexanoate
1583,(-)-dihydrocarvone
1584,(-)-neodihydrocarveol
1585,(-)-isodihydrocarvone
1586,(-)-isodihydrocarveol
1587,(-)-neoisodihydrocarveol
1588,(+)-trans-carveol
1589,(+)-carvone
1590,mycofactocinone
1591,mycofactocinol
1592,"(4S,6S)-cis-carveol"
1593,"(3S,6R)-6-hydroxy-3-isopropenyl-heptanoate"
1594,"(4S,7R)-4-isopropenyl-7-methyloxepan-2-one"
1595,(3S)-3-isopropenyl-6-oxoheptanoate
1596,(3S)-3-isopropenyl-6-oxoheptanoyl-CoA
1597,beta-peltatin-A methyl ether
1598,6-methoxypodophyllotoxin
1599,beta-peltatin
1600,(+)-isodihydrocarveol
1601,(+)-isodihydrocarvone
1602,"(3S,6R)-6-isopropenyl-3-methyloxepan-2-one"
1603,(5R)-6-hydroxy-5-isopropenyl-2-methylhexanoate
1604,(+)-dihydrocarvone
1605,(+)-neodihydrocarveol
1606,(-)-dihydrocarveol
1607,(3R)-3-isopropenyl-6-oxoheptanoyl-CoA
1608,(3R)-3-isopropenyl-6-oxoheptanoate
1609,"(3R,6R)-6-hydroxy-3-isopropenylheptanoate"
1610,(-)-carvone
1611,(-)-cis-carveol
1612,"(4R,7R)-4-isopropenyl-7-methyloxepan-2-one"
1613,(-)-trans-carveol
1614,(-)-pluviatolide
1615,"(1S,4R)-1-hydroxymenth-8-en-2-one"
1616,"(1S,2S,4R)-limonene-1,2-diol"
1617,(4R)-7-hydroxy-4-isoprenyl-7-methyl-2-oxo-oxepanone
1618,"(4R)-1,2-epoxymenth-8-ene"
1619,(4R)-limonene
1620,ochrindole D
1621,hydrodidemethylasterriquinone D
1622,terrequinone A
1623,asterriquinone C1
1624,didemethylasterriquinone D
1625,2-oxo-4-Isopropenylcyclohexane-1-carboxyl-CoA
1626,4-(isopropenyl)pimeloyl-CoA
1627,2-hydroxy-4-isopropenylcyclohexane-1-carboxyl-CoA
1628,limonene
1629,perillyl alcohol
1630,perillyl aldehyde
1631,perillyl-CoA
1632,perillate
1633,"1,4-naphthoquinone"
1634,juglone
1635,(R)-perillyl alcohol
1636,(4R)-perillyl aldehyde
1637,(4R)-perillate
1638,palmitoleoyl-CoA
1639,methoxydihydrosorgoleone
1640,dihydrosorgoleone
1641,sorgoleone
1642,5-pentadecatrienyl resorcinol-3-methyl ether
1643,5-pentadecatrienyl resorcinol
1644,"(9Z,12Z,15Z)-hexadeca-9,12,15-trienoyl-CoA"
1645,"(9Z,12Z)-hexadeca-9,12-dienoyl-CoA"
1646,"(1R,4S)-1-hydroxymenth-8-en-2-one"
1647,"(1R,2R,4S)-limonene-1,2-diol"
1648,(4S)-7-hydroxy-4-isoprenyl-7-methyl-2-oxo-oxepanone
1649,"(4S)-1,2-epoxymenth-8-ene"
1650,(4S)-limonene
1651,atromentin
1652,"Delta2,5-3,4,4-trimethylpimeloyl-CoA"
1653,"[(1R)-4,5,5-trimethyl-2-oxocyclopent-3-enyl]acetate"
1654,"(-)-5-oxo-1,2-campholide"
1655,"(1S)-bornane-2,5-dione"
1656,(-)-exo-3-hydroxycamphor
1657,reduced putidaredoxin [iron-sulfur] cluster
1658,(-)-camphor
1659,oxidized putidaredoxin [iron-sulfur] cluster
1660,"[(2R)-3,3,4-trimethyl-6-oxo-3,6-dihydro-1H-pyran-2-yl]acetyl-CoA"
1661,"[(1R)-2,2,3-trimethyl-5-oxocyclopent-3-enyl]acetyl-CoA"
1662,emodin anthrone
1663,emodin
1664,emodin dianthrone
1665,hypericin
1666,protohypericin
1667,"(+)-5-oxo-1,2-campholide"
1668,"(+)-bornane-2,5-dione"
1669,(+)-exo-5-hydroxycamphor
1670,(+)-camphor
1671,superoxide
1672,alizarin
1673,asterrate
1674,(+)-bisdechlorogeodin
1675,sulochrin
1676,(-)-bisdechlorogeodin
1677,N-acetyl-beta-glucosaminylamine
1678,N4-(beta-N-acetyl-D-glucosaminyl)-L-asparagine
1679,shikonin
1680,deoxyshikonin
1681,3''-hydroxy-geranylhydroquinone
1682,geranylhydroquinone
1683,3-geranyl-4-hydroxybenzoate
1684,lawsone
1685,2-oxosuccinamate
1686,2-hydroxysuccinamate
1687,dihydrogeodin
1688,(+)-geodin
1689,FAD
1690,FADH2
1691,questin
1692,demethylsulochrin
1693,(indol-3-yl)acetaldehyde
1694,(indol-3-yl)ethanol
1695,tryptamine
1696,(indol-3-yl)acetate
1697,"1-O,6-O-digalloyl-beta-D-glucose"
1698,"1,2,6-trikis-O-galloyl-beta-D-glucose"
1699,6-O-galloylglucose
1700,"1,2,3,6-tetrakis-O-galloyl-beta-D-glucose"
1701,1-O-galloyl-beta-D-glucose
1702,"1,2,3,4,6-pentagalloylglucose"
1703,gallate
1704,4-O-methyl-DIBOA-glucoside
1705,DIBOA-beta-D-glucoside
1706,HMDBOA-glucoside
1707,DIMBOA-beta-D-glucoside
1708,(2R)-2-hydroxy-2-(indol-3-yl)acetaldehyde
1709,(2R)-2-hydroxy-2-(indol-3-yl)acetate
1710,(indol-3-yl)glycol
1711,2-hydroxy-1-(indol-3-yl)ethanone
1712,(indol-3-yl)glyoxal
1713,2-(indol-3-yl)-2-oxoacetate
1714,butanoyl-CoA
1715,Na+
1716,butanoate
1717,(R)-2-hydroxyglutarate
1718,(R)-2-hydroxyglutaryl-CoA
1719,(3E)-2-oxohex-3-enedioate
1720,"(2Z,4E)-2-aminomuconate"
1721,2-hydroxylaminobenzoate
1722,2-nitrobenzoate
1723,mesaconate
1724,(S)-citramalate
1725,(+)-taxifolin
1726,quercetin
1727,(2S)-eriodictyol
1728,luteolin
1729,(+)-dihydrokaempferol
1730,kaempferol
1731,(2S)-naringenin
1732,apigenin
1733,naringenin chalcone
1734,4-oxoglutaramate
1735,4-imidazolone-5-propanoate
1736,formyl-L-isoglutamine
1737,L-isoglutamine
1738,N-formimino-L-glutamate
1739,hydantoin-5-propanoate
1740,urocanate
1741,isoliquiritigenin
1742,5-formimidoyltetrahydrofolate
1743,dihydro-4-coumaroyl-CoA
1744,phloretin
1745,phlorizin
1746,formamide
1747,"3-C-glucosyl-2,4,4',6-tetrahydroxydibenzoylmethane"
1748,6-C-glucosyl-2-hydroxynaringenin
1749,2-hydroxynaringenin
1750,"3,5-di-C-glucosyl-2,4,4',6-tetrahydroxydibenzoylmethane"
1751,vicenin-2
1752,isovitexin
1753,vitexin
1754,"1-(4-hydroxyphenyl)-3-(2,4,6-trihydroxyphenyl)propane-1,3-dione"
1755,"3',5'-di-C-glucosylphloretin"
1756,nothofagin
1757,N-formyl-L-glutamate
1758,2-hydroxyliquiritigenin
1759,licodione
1760,(2S)-liquiritigenin
1761,2'-O-methyllicodione
1762,echinatin
1763,3-methylcrotonyl-CoA
1764,(S)-3-hydroxy-3-methylglutaryl-CoA
1765,acetoacetate
1766,3-methylglutaconyl-CoA
1767,(R)-2-hydroxy-4-methylpentanoate
1768,4-methylpent-2-enoyl-CoA
1769,(R)-2-hydroxy-4-methylpentanoyl-CoA
1770,4-methylpentanoyl-CoA
1771,4-methylpentanoate
1772,4-coumaryl-4-coumarate
1773,(7R)-trans-hinokiresinol
1774,(7S)-trans-hinokiresinol
1775,(7S)-cis-hinokiresinol
1776,3-methylbutanal
1777,3-methylbutanol
1778,4-coumaroyltriacetate lactone
1779,4-coumaroyltriacetate
1780,bis-noryangonin
1781,trans-resveratrol
1782,(3R)-beta-leucine
1783,4-methyl-3-oxopentanoate
1784,isobutanoate
1785,"3-methoxy-4',5-dihydroxy-trans-stilbene"
1786,3-methylbutanoate
1787,"[1,4-(N-acetyl-beta-D-glucosaminyl)]n"
1788,"[1,4-(N-acetyl-beta-D-glucosaminyl)](n+1)"
1789,"2,4-dihydroxycinnamoyl-CoA"
1790,2'-hydroxy-beta-oxo-L-tyrosine-S-[NovH protein]
1791,NovH peptidyl-carrier protein
1792,beta-oxo-L-tyrosine-S-[NovH protein]
1793,(R)-beta-hydroxy-L-tyrosine-S-[NovH protein]
1794,L-tyrosine-S-[NovH protein]
1795,4a-hydroxy-N10-formyltetrahydrofolate
1796,"N10-formyl-7,8-dihydrofolate"
1797,trans-6-hydroxyferuloyl-CoA
1798,coumarinate
1799,coumarin
1800,cis-coumarinic acid-beta-D-glucoside
1801,2-O-(beta-D-glucosyl)-2-hydroxycinnamate
1802,trans-2-coumarate
1803,alpha-N-phenylacetyl-L-glutamine
1804,(R)-3-(phenyl)lactate
1805,phenylacetylglycine
1806,dTDP-4-dehydro-6-deoxy-alpha-D-glucopyranose
1807,dTDP-alpha-D-fucopyranose
1808,dTDP-4-dehydro-beta-L-rhamnose
1809,dTDP-beta-L-pneumose
1810,bergaptol
1811,bergapten
1812,psoralen
1813,(+)-marmesin
1814,demethylsuberosin
1815,2-phenylethanol
1816,3-O-beta-D-glucosyl-daphnetin
1817,daphnetin
1818,7-hydroxy-8-methoxycoumarin
1819,(R)-3-(phenyl)lactoyl-CoA
1820,3-phenylpropanoate
1821,esculin
1822,isoscopoletin
1823,"(2R,4S)-2, 4-diaminopentanoate"
1824,D-ornithine
1825,(2R)-2-amino-4-oxopentanoate
1826,"2,4,6-trihydroxycinnamoyl-CoA"
1827,putrescine
1828,agmatine
1829,N2-succinylglutamate
1830,N2-succinyl-L-glutamate 5-semialdehyde
1831,N2-succinyl-L-ornithine
1832,N2-succinyl-L-arginine
1833,linoleate
1834,(13S)-HPODE
1835,etheroleate
1836,5-guanidino-2-oxopentanoate
1837,4-guanidinobutyraldehyde
1838,4-guanidinobutanoate
1839,D-1-guanidino-1-deoxy-3-dehydro-scyllo-inositol
1840,"D-1-guanidino-3-amino-1,3-dideoxy-scyllo-inositol"
1841,1-guanidino-1-deoxy-scyllo-inositol 4-phosphate
1842,1-guanidino-1-deoxy-scyllo-inositol
1843,streptomycin
1844,streptomycin 6-phosphate
1845,CDP-alpha-D-glucose
1846,CDP-N-methyl-L-glucosamine
1847,dTDP-L-dihydrostreptose
1848,dTDP-beta-L-rhamnose
1849,dihydrostreptomycin 6-phosphate
1850,"O-1,4-alpha-L-dihydrostreptosyl-streptidine 6-phosphate"
1851,streptidine 6-phosphate
1852,dTDP
1853,1-amino-1-deoxy-scyllo-inositol 4-phosphate
1854,1-amino-1-deoxy-scyllo-inositol
1855,pentalenolactone D
1856,pentalenolactone E
1857,1-deoxy-11beta-hydroxypentalenate
1858,1-deoxy-11-oxopentalenate
1859,pentalenolactone F
1860,pentalenolactone
1861,1-deoxypentalenate
1862,pentalen-13-al
1863,pentalen-13-ol
1864,pentalenene
1865,N-carbamoylputrescine
1866,daunorubicin
1867,doxorubicin
1868,4-guanidinobutyramide
1869,deacetoxycephalosporin C
1870,deacetylcephalosporin C
1871,penicillin N
1872,isopenicillin N
1873,propanoyl phosphate
1874,"3,5,7,9,11,13,15,17,19-nonaoxoicosanoate"
1875,"3,5-dioxo-6-[4,5,7-trihydroxy-3-(3-oxobutanoyl)naphthalen-2-yl]hexanoate"
1876,tetracenomycin B3
1877,tetracenomycin D3
1878,tetracenomycin B2
1879,8-demethyltetracenomycin C
1880,8-demethyl-8-alpha-L-rhamnosyl-tetracenomycin C
1881,8-demethyl-8-(2-O-methyl-alpha-L-rhamnosyl)-tetracenomycin C
1882,"8-demethyl-8-(2,3-O-dimethyl-alpha-L-rhamnosyl)-tetracenomycin C"
1883,12-demethyl-elloramycin
1884,"2,5-didehydro-D-gluconate"
1885,2-keto-L-gulonate
1886,guanidinoacetyl-[polyketide synthase]
1887,guanidinoacetate
1888,polyketide synthase
1889,GdnH polyketide synthase
1890,"(2S,3S,7R)-2-amino-3-amino-7-hydroxy-8-(2-iminoimidazolidin-4-yl)octanoate"
1891,"(2S,3S,7R)-2-amino-3-amino-7-hydroxy-8-(2-iminoimidazolidin-4-yl)octanoyl-[GdnH polyketide synthase]"
1892,"(2S,3S,7R)-2,3-diamino-8-(1-carbamoyl-2-iminoimidazolidin-4-yl)-7-hydroxyoctanoate"
1893,carboxyphosphate
1894,L-seryl-[L-seryl-carrier protein]
1895,holo-[L-seryl-carrier protein]
1896,2-aminomalonyl semialdehyde-[L-seryl-carrier protein]
1897,aminomalonyl-[L-seryl-carrier protein]
1898,L-alanyl-L-valine
1899,6-dehydroguadinomine B
1900,methylglyoxal
1901,aminoacetone
1902,L-2-amino-3-oxobutanoate
1903,tetracycline
1904,"5a,11a-dehydrotetracycline"
1905,anhydrotetracycline
1906,"5a,11a-dehydrooxytetracycline"
1907,oxytetracycline
1908,4-methylamino-4-de(dimethylamino)anhydrotetracycline
1909,4-amino-4-de(dimethylamino)anhydrotetracycline
1910,aminated amino group donor
1911,deaminated amino group donor
1912,4-dedimethylamino-4-oxoanhydrotetracycline
1913,4-hydroxy-6-methylpretetramide
1914,6-methylpretetramide
1915,alazopeptin
1916,6-diazo-5-oxo-L-norleucyl-6-diazo-5-oxo-L-norleucine
1917,6-diazo-5-oxo-L-norleucyl-[6-diazo-5-oxo-L-norleucine-carrier protein]
1918,6-diazo-5-oxo-L-norleucine
1919,holo-[6-diazo-5-oxo-L-norleucine-carrier protein]
1920,N-acetyl-6-diazo-5-oxo-L-norleucyl-[6-diazo-5-oxo-L-norleucine-carrier protein]
1921,N-acetyl-6-diazo-5-oxo-L-norleucine
1922,"3,4-bis(7-chloro-1H-indol-3-yl)-2,5-diiminohexanedioate"
1923,dichlorochromopyrrolate
1924,3-(7-chloroindol-3-yl)-2-iminopropanoate
1925,7-chloro-L-tryptophan
1926,dichloro-arcyriaflavin A
1927,4'-O-demethylrebeccamycin
1928,rebeccamycin
1929,6'''-oxoparomomycin
1930,paromomycin
1931,6'''-hydroxyparomomycin
1932,2'''-acetyl-6'''-hydroxyparomomycin
1933,5-ribosylparomamine
1934,5''-phosphoribosylparomamine
1935,3-sulfinopyruvate
1936,3-sulfino-L-alanine
1937,"4-methoxy-2,2'-bipyrrole-5-carbaldehyde"
1938,"4-hydroxy-2,2'-bipyrrole-5-carbaldehyde"
1939,"4-hydroxy-2,2'-bipyrrole-5-methanol"
1940,trans-2-octenal
1941,(S)-3-acetyloctanal
1942,L-amino acid
1943,"2-methyl-3-pentyl-4,5-dihydro-3H-pyrrole"
1944,prodigiosin
1945,2-methyl-3-pentyl-1H-pyrrole
1946,malonyl-[PigH]
1947,holo-[PigH polyketide synthase/acyl-carrier protein]
1948,3-oxo-3-(1H-pyrrol-2-yl)propanoyl-[PigH]
1949,1H-pyrrole-2-carbonyl-[PigJ acyl-carrier protein]
1950,holo-[PigJ acyl-carrier protein]
1951,1H-pyrrole-2-carbonyl-[PigG prolyl-carrier protein]
1952,holo-[PigG prolyl-carrier protein]
1953,L-prolyl-[PigG prolyl-carrier protein]
1954,N-[(2S)-2-amino-2-carboxyethyl]-L-glutamate
1955,"L-2,3-diaminopropanoate"
1956,"N-(R,R)-3-epoxysuccinamoyl-(S)-2,3-diaminopropanoyl-L-valine"
1957,"N-3-(R,R)-epoxysuccinamoyl-(S)-2,3-diaminopropanoate"
1958,DdaD non-ribosomal peptide synthase
1959,"N-3-(R,R)-epoxysuccinamoyl-(S)-2,3-diaminopropanoyl-[DdaD non-ribosomal peptide synthase]"
1960,"N-3-fumaramoyl-(S)-2,3-diaminopropanoyl-[DdaD non-ribosomal peptide synthase]"
1961,"N-3-fumaramoyl-(S)-2,3-diaminopropanoyl-adenylate"
1962,"N-3-fumaramoyl-L-2,3-diaminopropanoate"
1963,"N-3-fumaroyl-L-2,3-diaminopropanoate"
1964,dapdiamide A
1965,dapdiamide B
1966,dapdiamide C
1967,isobutanol
1968,isobutanal
1969,6'-chloromelleolide F
1970,melleolide F
1971,orsellinoyl-[pks]
1972,"1,4,5-trihydroxy-Delta2,3-protoilludene"
1973,"Delta2,4-protoilludene"
1974,(S)-methylmalonate-semialdehyde
1975,(S)-3-amino-2-methylpropanoate
1976,(S)-3-hydroxy-isobutanoate
1977,(S)-3-hydroxy-isobutanoyl-CoA
1978,holo-[pyruvoyl-carrier protein]
1979,S-lactoyl-[pyruvoyl-carrier protein]
1980,holo-[3-methyl-2-oxobutanoyl-carrier protein]
1981,(2R)-2-hydroxy-3-methylbutanoyl-[3-methyl-2-oxobutanoyl-carrier protein]
1982,holo-[valyl-carrier protein]
1983,D-valyl-[valyl-carrier protein]
1984,L-valyl-[valyl-carrier protein]
1985,valinomycin
1986,TE domain
1987,(D-Hiv-D-Val-L-Lac-L-Val)3-[thioesterase domain]
1988,D-Hiv-D-Val-L-Lac-L-Val-[thioesterase domain]
1989,D-Hiv-D-Val-L-Lac-L-Val-[valyl-carrier protein]
1990,cytidine 5'-{[hydroxy(2-hydroxypropyl)phosphonoyl]phosphate}
1991,(S)-2-hydroxypropylphosphonate
1992,cytidine 5'-{[hydroxy(2-hydroxyethyl)phosphonoyl]phosphate}
1993,2-hydroxyethylphosphonate
1994,fosfomycin
1995,phosphonoacetaldehyde
1996,3-phosphonopyruvate
1997,cyanidin 3-O-sophoroside
1998,cyanidin-3-O-beta-D-glucoside
1999,shisonin
2000,malonylshisonin
2001,cyanidin 3-O-[6-O-(4-coumaroyl)]-beta-D-glucoside
2002,"cyanidin 3,5-di-O-beta-D-glucoside"
2003,cyanidin
2004,3-methylarginine
2005,5-guanidino-3-methyl-2-oxopentanoate
2006,creatine
2007,D-ribofuranose 5-phosphate
2008,(3S)-beta-arginine
2009,blasticidin S
2010,L-leucyl-blasticidin S
2011,L-leucyl-demethyl-blasticidin S
2012,demethylblasticidin S
2013,cytosinine
2014,cytosyl-4'-dehydro-beta-D-glucuronate
2015,cytosyl-4'-amino-beta-D-glucuronate
2016,cytosyl-beta-D-glucuronate
2017,(E)-2-methylcrotonoyl-CoA
2018,2-methylacetoacetyl-CoA
2019,"(2S,3S)-3-hydroxy-2-methylbutanoyl-CoA"
2020,(S)-lactaldehyde
2021,"(3R)-4-(2-aminophenyl)-3-hydroxy-2,4-dioxobutanoate"
2022,3-hydroxykynurenate
2023,3-hydroxyquinaldate
2024,(R)-beta-hydroxy-L-kynurenine
2025,(R)-N-formyl-beta-hydroxy-L-kynurenine
2026,(S)-beta-hydroxy-L-tryptophan
2027,(S)-beta-hydroxy-L-tryptophyl-[L-tryptophyl-carrier protein]
2028,holo-[L-tryptophyl-carrier protein]
2029,L-tryptophyl-[L-tryptophyl-carrier protein]
2030,alpha-N-dichloroacetyl-p-aminophenylserinol
2031,chloramphenicol
2032,dichloroacetyl-[acp]
2033,"(1R,2R)-2-amino-1-(4-aminophenyl)propane-1,3-diol"
2034,soluble holo-[acyl-carrier protein]
2035,holo-[CmlP-peptidyl-carrier protein]
2036,2-(4-aminophenyl)-L-seryl-[CmlP-peptidyl-carrier-protein]
2037,4-amino-4-deoxychorismate
2038,4-amino-4-deoxyprephenate
2039,3-(4-aminophenyl)pyruvate
2040,4-amino-L-phenylalanine
2041,4-amino-L-phenylalanyl-[CmlP-peptidyl-carrier-protein]
2042,2-methylbutanal
2043,2-methylbutanol
2044,(S)-ureidoglycine
2045,RedL polyketide synthase
2046,malonyl-[RedL polyketide synthase]
2047,holo-[RedN acyl-carrier protein/polyketide synthase]
2048,malonyl-[RedN]
2049,2-undecylpyrrole
2050,undecylprodigiosin
2051,3-oxo-3-(1H-pyrrol-2-yl)propanoyl-[RedN]
2052,[RedX acyl-carrier protein]-(1H-pyrrole-2-carbonyl)-L-cysteine
2053,[RedX protein]-L-cysteine
2054,1H-pyrrole-2-carbonyl-[RedO prolyl-carrier protein]
2055,holo-[RedO prolyl-carrier protein]
2056,L-prolyl-[RedO prolyl-carrier protein]
2057,streptorubin B
2058,"5-undecyl-1,2-dihydropyrrol-3-one"
2059,3-oxotetradecanoyl-[RedL polyketide synthase]
2060,dodecanoyl-[RedQ acyl-carrier protein]
2061,holo-[RedQ acyl-carrier protein]
2062,methionol
2063,3-(methylsulfanyl)propanal
2064,valienol 7-phosphate
2065,valienol 1-phosphate
2066,validamycin B
2067,validamycin A
2068,validoxylamine A 7'-phosphate
2069,validoxylamine A
2070,validamine 7-phosphate
2071,GDP-valienol
2072,validone 7-phosphate
2073,valienone 7-phosphate
2074,valienone
2075,5-epi-valiolone
2076,2-epi-5-epi-valiolone
2077,alpha-D-sedoheptulopyranose 7-phosphate
2078,adenosine
2079,1-[(2S)-2-amino-4-methylpentanamido]ethenyl(methoxy)phosphinate
2080,(1S)-1-[(2S)-2-amino-4-methylpentanamido]ethyl(methoxy)phosphinate
2081,hydrogen (1S)-1-[(2S)-2-amino-4-methylpentanamido]ethylphosphonate
2082,[(S)-1-aminoethyl]phosphonate
2083,hydrogen acetylphosphonate
2084,1-amino-2-phosphorylethylphosphonate
2085,"1,2-dihydroxyethylphosphonate"
2086,1-hydroxy-2-phosphorylethylphosphonate
2087,1-oxo-2-phosphorylethylphosphonate
2088,tRNALeu
2089,L-leucyl-[tRNALeu]
2090,dehydrophos
2091,(L-cysteinyl)adenylate
2092,(S-methyl-L-cysteinyl)adenylate
2093,thiocoraline
2094,thiocoraline dithiol
2095,non-ribosomal peptide synthase
2096,3-hydroxyquinaldyl-D-cysteinyl-glycyl-[non-ribosomal peptide synthase]
2097,aryl-carrier protein
2098,3-hydroxyquinaldyl-[aryl-carrier protein]
2099,3-hydroxyquinaldate adenylate
2100,"2,3-dihydroxybenzoyl-[DhbB aryl-carrier protein]"
2101,holo-[DhbB aryl-carrier protein]
2102,(glycyl)adenylate
2103,glycyl-[DhbF non-ribosomal peptide synthase]
2104,[DhbF non-ribosomal peptide synthase]
2105,"2,3-dihydroxybenzoyl-glycyl-[DhbF non-ribosomal peptide synthase]"
2106,(L-threonyl)adenylate
2107,L-threonyl-[DhbF non-ribosomal peptide synthase]
2108,"2,3-dihydroxybenzoyl-glycyl-L-arginyl-[DhbF non-ribosomal peptide synthase]"
2109,bacillibactin
2110,terpentecin
2111,terpentetriene
2112,terpentedienyl diphosphate
2113,candicinolide
2114,18-carboxy candicinolide
2115,GDP-mycosamine
2116,candicidin III
2117,demycosaminyl-candicidin III
2118,4-aminobenzoyl-CoA
2119,4-aminobenzoate
2120,12-deoxyaklanoate
2121,"6-[3-hydroxy-2-(3,5,7-trioxononanoyl)phenyl]-3,5-dioxohexanoate"
2122,"9-hydroxy-3,5,7,11,13,15,17,19-octaoxohenicosanoyl-[acp]"
2123,"3,5,7,9,11,13,15,17,19-nonaoxohenicosanoyl-[acp]"
2124,aclacinomycin A
2125,aclacinomycin Y
2126,aclacinomycin N
2127,aclacinomycin S
2128,dTDP-L-rhodinose
2129,aclacinomycin T
2130,dTDP-2-deoxy-beta-L-fucose
2131,aklavinone
2132,dTDP-beta-L-rhodosamine
2133,aklaviketone
